Tiempo,CPU,RAM,Temp,Corriente (mA)
0,10.1,21.4,33.102,317.1036585365853
0,18.0,21.4,33.102,278.7804878048781
1,20.0,21.2,33.102,313.0792682926829
1,10.0,21.2,33.102,347.8353658536585
2,10.0,21.2,33.589,297.3475609756098
2,9.5,21.0,33.102,333.8414634146342
3,10.5,21.0,32.615,295.79268292682923
3,9.5,20.9,32.128,292.8658536585366
4,9.5,20.9,32.128,290.3048780487805
4,9.5,20.7,32.128,346.0975609756097
5,10.6,20.7,31.641,336.219512195122
5,10.5,20.6,32.128,298.3536585365853
6,26.9,21.4,32.615,311.3414634146341
6,25.1,22.5,33.589,367.7743902439025
7,25.0,23.1,32.128,372.4390243902439
7,25.0,23.3,33.102,323.8719512195122
8,24.6,24.1,32.128,330.8231707317073
8,25.0,24.1,33.589,316.3719512195122
9,25.0,24.1,32.128,335.4878048780488
9,29.0,25.3,33.589,340.9756097560976
10,26.6,31.1,33.589,372.3475609756098
10,25.5,29.2,33.589,352.5914634146342
11,23.1,22.2,33.589,316.6463414634146
11,24.6,22.0,33.102,284.8170731707317
12,25.5,22.0,33.589,346.6463414634146
12,26.4,22.3,34.076,338.6890243902439
13,11.5,22.3,32.615,350.30487804878044
13,16.0,22.2,32.615,320.2134146341463
14,30.2,24.4,33.589,332.1036585365853
14,25.0,24.4,34.563,348.4756097560975
15,25.4,25.6,32.128,335.5792682926829
15,24.6,26.5,33.589,316.0975609756098
16,25.0,27.3,34.563,307.8658536585366
16,25.4,27.5,33.102,316.0975609756098
17,25.4,27.5,33.589,344.2682926829268
17,25.0,27.9,34.563,362.3780487804878
18,25.0,28.8,32.615,341.3414634146342
18,25.4,29.6,34.563,337.5
19,24.6,29.6,33.102,320.1219512195122
19,25.0,29.5,32.615,312.2560975609756
20,25.0,29.5,33.102,325.9756097560976
20,25.0,29.5,33.102,334.39024390243907
21,24.6,26.8,32.615,341.1585365853659
21,25.4,26.6,33.589,343.2621951219512
22,43.8,33.0,34.563,350.1219512195122
22,24.6,39.6,33.589,302.8353658536586
23,25.4,44.6,33.589,324.9695121951219
23,25.0,44.6,34.563,324.5121951219512
24,25.0,44.6,33.589,340.8841463414634
24,27.3,24.1,33.589,351.4024390243902
25,33.5,25.4,35.05,325.609756097561
25,13.5,22.5,32.615,303.2926829268293
26,10.9,22.5,34.076,267.4390243902439
26,13.1,22.3,33.102,264.6036585365853
27,32.5,24.2,33.102,319.7560975609756
27,25.0,24.3,34.563,356.3414634146341
28,25.0,25.5,33.102,333.8414634146342
28,25.1,26.3,33.589,339.6036585365854
29,25.0,26.5,34.076,307.95731707317077
29,25.0,26.5,33.589,313.9024390243902
30,25.0,27.3,34.563,320.7621951219512
30,25.4,28.2,34.076,326.0670731707317
31,25.0,28.2,33.589,335.7621951219512
31,25.0,28.2,33.102,339.8780487804878
32,24.9,28.2,34.076,348.6585365853658
32,25.0,25.7,33.589,318.2926829268293
33,33.3,27.9,35.05,311.06707317073176
33,32.0,34.5,33.589,347.2865853658537
34,24.6,39.9,33.102,313.4451219512195
34,25.1,39.9,32.128,342.9878048780488
35,25.0,39.9,35.05,338.5060975609756
35,33.8,24.6,35.05,355.3353658536586
36,13.4,22.4,34.076,351.3109756097561
36,21.1,22.4,35.05,274.9390243902439
37,24.9,22.5,34.563,314.54268292682923
