Tiempo,CPU,RAM,Temp,Corriente (mA)
0,26.0,35.1,32.128,325.2439024390244
0,12.1,35.0,31.154,320.6707317073171
1,18.6,35.1,32.128,307.7743902439025
1,17.7,35.3,31.154,284.5426829268293
2,16.2,35.5,31.154,337.5914634146341
2,19.3,35.6,32.128,342.3475609756098
3,16.6,35.8,31.641,333.4756097560976
3,21.0,36.1,31.641,313.2621951219512
4,20.9,36.2,33.102,283.3536585365853
4,19.1,36.3,31.641,302.0121951219512
5,19.0,36.5,32.128,287.6524390243903
5,19.7,36.7,32.128,315.1829268292683
6,20.1,37.0,31.641,300.3658536585366
6,48.2,37.6,33.589,355.60975609756093
7,45.8,37.6,33.102,400.9756097560976
7,37.2,37.6,32.615,339.69512195121956
8,31.7,37.6,32.615,356.1585365853658
8,31.8,37.6,31.641,334.7560975609756
9,37.1,38.2,32.615,380.2134146341463
9,34.2,38.2,33.102,345.640243902439
10,30.7,38.2,32.615,355.7012195121951
10,33.2,38.2,32.615,354.2378048780488
11,24.4,38.0,31.641,340.3353658536585
11,34.2,39.7,33.102,351.859756097561
12,45.5,38.8,34.076,381.219512195122
12,37.7,39.0,35.05,385.3353658536585
13,32.7,39.0,34.076,369.1463414634146
13,38.8,39.2,34.563,332.0121951219512
14,33.0,39.2,34.563,362.8353658536586
14,33.2,39.2,35.05,348.3841463414634
15,29.9,41.0,34.563,442.4085365853658
15,25.1,41.4,34.076,343.8109756097561
16,25.9,42.0,33.589,333.0182926829268
16,25.6,42.8,34.076,350.48780487804873
17,15.5,43.4,33.589,364.1158536585366
17,51.8,43.4,34.563,356.4329268292683
18,42.6,43.3,33.589,387.9878048780488
18,35.2,43.4,34.563,363.6585365853658
19,31.5,43.4,33.102,330.0914634146341
19,38.3,43.8,34.076,347.0121951219512
20,37.8,43.8,33.102,319.8475609756097
20,30.8,43.8,33.589,362.2865853658537
21,31.5,43.8,33.589,456.0365853658537
21,33.3,39.7,34.563,339.0548780487805
22,50.3,38.6,33.589,379.390243902439
22,45.0,38.3,33.589,340.2439024390244
23,37.5,38.5,33.102,364.390243902439
23,30.7,38.5,34.076,352.4085365853659
24,36.0,38.6,34.563,351.4939024390244
24,38.7,39.0,34.076,407.6524390243902
25,33.2,39.0,34.076,362.0121951219512
25,32.5,39.0,35.05,337.7743902439024
26,32.0,39.0,33.589,364.8475609756098
26,37.5,39.3,34.076,344.0853658536585
27,49.0,39.6,35.05,352.7743902439025
27,35.5,39.6,34.076,362.0121951219512
28,35.2,39.6,34.076,322.4085365853658
28,37.3,39.6,34.076,324.6951219512195
29,32.0,39.6,35.05,344.5426829268293
29,32.3,39.6,35.05,338.3231707317073
30,30.2,39.6,34.076,344.1768292682927
30,25.0,41.0,34.076,364.5731707317073
31,44.0,41.8,35.05,338.8719512195122
31,47.8,42.0,34.076,358.9939024390244
32,38.8,42.0,34.076,377.4695121951219
32,31.5,42.0,34.563,339.1463414634147
33,35.3,42.0,34.076,330.640243902439
33,37.6,42.0,34.563,350.1219512195122
34,33.3,42.0,35.05,320.4878048780488
34,31.3,42.0,35.05,350.1219512195122
35,31.8,42.0,34.563,363.4756097560975
35,44.4,38.2,34.563,366.6768292682927
36,38.2,38.2,35.05,348.0182926829268
36,35.5,38.2,35.05,394.2987804878049
37,35.5,38.2,35.537,327.9878048780488
37,32.1,38.2,35.537,409.6646341463415
38,56.5,38.2,35.05,341.3414634146342
38,34.5,38.2,34.563,366.5853658536585
39,40.3,38.2,35.537,328.8109756097561
39,32.2,38.2,35.537,369.4207317073171
40,43.1,38.9,35.05,346.1890243902439
40,47.5,39.4,34.563,340.609756097561
41,41.8,39.4,35.05,342.3475609756098
41,32.7,39.4,34.076,355.2439024390244
42,33.8,39.3,34.563,338.140243902439
42,36.4,39.3,34.563,372.4390243902439
43,34.2,39.3,34.076,386.98170731707313
43,30.3,39.3,35.05,335.6707317073171
44,33.5,39.3,34.076,368.5975609756097
44,42.9,38.3,34.563,370.7926829268293
45,42.3,38.3,36.024,384.8780487804878
45,33.0,38.3,36.024,337.5914634146341
46,40.6,38.3,35.05,345.73170731707313
46,31.3,38.2,35.05,357.0731707317073
47,32.3,38.3,34.076,378.8414634146342
47,50.8,39.1,35.537,355.2439024390244
48,45.3,39.3,34.563,333.3841463414634
48,35.5,39.3,36.024,369.6951219512195
49,30.8,39.3,35.537,365.9451219512195
49,37.6,39.3,34.563,346.7378048780488
50,37.8,39.3,36.024,345.0914634146341
50,30.8,39.3,34.076,352.9573170731707
51,33.5,39.3,35.05,334.7560975609756
51,32.7,39.2,34.563,335.6707317073171
52,50.3,39.3,35.05,345.2743902439024
52,34.3,39.3,34.563,342.07317073170736
53,40.5,39.2,35.05,452.2865853658536
53,32.8,39.2,34.563,332.6524390243902
54,43.7,39.2,34.563,449.0853658536586
54,48.8,39.1,35.537,381.5853658536585
55,37.7,39.1,36.024,435.64024390243907
55,32.5,39.1,35.05,343.9939024390244
56,36.3,39.1,34.076,354.4207317073171
56,37.5,39.1,34.563,327.0731707317073
57,32.5,39.0,36.024,394.4817073170732
57,30.2,39.0,35.05,324.6951219512195
58,34.0,39.0,34.563,337.5
58,44.7,39.0,35.05,350.67073170731703
59,47.5,38.9,35.537,383.7804878048781
59,38.6,38.9,36.024,354.7865853658537
60,32.2,38.9,34.563,340.5182926829268
60,34.5,38.9,35.537,352.0426829268293
61,39.5,38.9,35.05,372.7134146341464
61,31.5,38.9,36.024,336.4024390243903
62,33.8,38.8,34.563,351.4939024390244
62,28.6,38.8,35.05,356.0670731707317
63,46.3,38.8,36.024,337.3170731707317
63,45.5,38.8,35.537,337.8658536585366
64,35.4,38.8,34.563,352.3170731707317
64,31.7,38.8,34.563,355.2439024390244
65,37.1,38.7,35.05,428.0487804878049
65,38.6,38.7,35.05,352.9573170731707
66,32.7,38.7,34.563,345.9146341463414
66,31.8,38.7,35.537,361.6463414634146
67,44.2,38.7,36.511,338.7804878048781
67,40.5,38.7,35.537,346.4634146341463
68,33.2,38.7,35.537,367.95731707317077
68,39.3,38.7,34.563,341.89024390243907
69,31.5,38.7,35.05,342.8048780487805
69,35.7,38.7,36.024,352.6829268292683
70,55.7,38.6,35.537,400.5182926829268
70,37.1,38.6,36.024,348.5670731707317
71,33.8,38.6,35.537,318.5670731707317
71,36.0,38.6,34.076,313.0792682926829
72,33.8,38.6,35.05,373.9939024390244
72,32.5,38.6,35.05,348.3841463414634
73,41.1,38.7,34.563,370.51829268292687
73,48.3,38.8,35.05,327.1646341463414
74,40.2,38.8,35.05,333.109756097561
74,32.5,38.8,34.563,373.9939024390244
75,33.2,38.7,35.05,337.7743902439024
75,35.0,38.7,35.537,338.4146341463415
76,35.8,38.7,35.05,381.0365853658537
76,31.8,38.7,34.563,344.6341463414634
77,32.2,38.7,34.563,342.7134146341463
77,42.0,38.7,36.511,355.2439024390244
78,48.5,38.7,36.024,329.0853658536586
78,40.2,38.7,35.537,332.3780487804878
79,33.0,38.7,36.024,360.9146341463414
79,34.0,38.7,35.537,320.3963414634146
