Tiempo,CPU,RAM,Temp,Corriente (mA)
0,11.9,25.7,30.667,317.2865853658536
0,18.8,25.7,32.128,263.5060975609756
1,18.9,25.7,31.154,323.140243902439
1,11.6,25.7,31.641,341.89024390243907
2,11.6,25.7,30.18,312.1646341463415
2,11.4,25.7,31.641,305.3963414634147
3,11.1,25.7,31.154,285.0914634146342
3,10.6,25.7,31.154,286.280487804878
4,12.4,25.7,32.128,278.5975609756098
4,10.6,25.7,31.154,278.9634146341464
5,11.6,25.8,31.154,337.9573170731707
5,11.6,26.3,31.641,296.25
6,29.6,26.7,32.128,332.0121951219512
6,26.6,27.8,31.154,306.7682926829268
7,26.3,28.4,32.128,311.3414634146341
7,26.5,28.6,31.641,329.1768292682927
8,26.9,29.4,32.128,351.6768292682927
8,26.5,29.4,31.641,335.1219512195122
9,26.3,29.4,31.641,320.3048780487805
9,27.4,30.7,31.154,314.4512195121951
10,27.9,32.0,31.641,313.4451219512195
10,27.1,32.4,33.102,332.5609756097561
11,26.5,28.0,32.128,328.3536585365854
11,26.5,28.0,32.128,307.8658536585366
12,26.1,28.0,31.641,338.0487804878049
12,23.1,27.9,32.128,320.3963414634146
13,12.4,27.9,32.128,308.9634146341463
13,20.4,28.8,31.641,258.109756097561
14,34.8,31.1,32.128,306.859756097561
14,26.6,31.1,33.102,332.1036585365853
15,26.5,32.1,32.615,334.9390243902439
15,27.4,32.9,33.102,330.640243902439
16,27.0,33.8,33.102,340.3353658536585
16,26.5,33.8,32.128,315.4573170731707
17,27.6,33.8,33.102,313.8109756097561
17,26.1,34.4,33.102,323.3231707317073
18,26.5,35.4,33.102,327.1646341463414
18,27.2,35.8,32.615,320.3963414634146
19,26.6,35.8,32.615,343.7195121951219
19,26.9,35.8,32.128,338.7804878048781
20,26.5,35.8,32.615,323.0487804878049
20,26.1,35.8,32.128,312.8048780487805
21,26.4,34.2,32.615,337.7743902439024
21,27.4,34.2,34.076,324.6951219512195
22,26.4,37.7,33.102,342.07317073170736
22,27.1,37.7,33.102,313.5365853658537
23,27.0,38.1,34.076,317.4695121951219
23,27.0,38.7,33.589,310.609756097561
24,27.1,39.1,32.615,310.0609756097561
24,38.3,32.0,33.102,313.2621951219512
25,20.7,29.1,33.589,344.9085365853659
25,11.5,29.1,32.615,286.6463414634146
26,13.0,28.9,32.128,291.6768292682927
26,21.7,29.1,32.615,318.5670731707317
27,33.0,30.2,33.102,325.2439024390244
27,26.9,30.8,33.102,342.6219512195122
28,26.9,31.4,32.128,331.7378048780488
28,26.1,32.2,33.589,345.73170731707313
29,26.3,32.3,34.076,322.3170731707317
29,26.9,32.5,33.102,324.6951219512195
30,26.5,33.5,33.589,322.7743902439024
30,26.9,33.7,33.102,364.4817073170732
31,26.7,33.7,33.589,355.8841463414634
31,26.1,33.7,33.102,361.3719512195122
32,26.6,33.7,33.102,332.8353658536585
32,27.2,31.5,33.102,324.42073170731703
33,27.1,33.7,33.102,319.6646341463414
33,27.0,35.2,32.615,319.9390243902439
34,26.6,35.6,33.102,314.35975609756093
34,26.3,36.6,34.076,316.6463414634146
35,36.0,30.3,35.05,328.5365853658537
35,19.9,28.2,32.615,337.8658536585366
36,18.5,28.2,34.076,361.3719512195122
36,26.5,28.1,34.563,326.3414634146342
37,27.0,28.9,34.076,330.0914634146341
37,26.5,29.1,33.589,332.5609756097561
38,26.6,29.5,34.076,316.55487804878044
38,26.1,30.1,33.589,327.2560975609756
39,26.9,30.3,34.076,337.5
39,26.1,30.8,34.076,347.469512195122
40,27.4,31.0,35.05,334.4817073170732
