Tiempo,CPU,RAM,Temp,Corriente (mA)
0,10.0,18.7,31.154,325.609756097561
0,15.5,18.7,32.128,326.1585365853659
1,12.9,18.7,33.102,334.57317073170736
1,8.0,18.7,31.641,299.1768292682927
2,10.5,18.7,31.641,254.72560975609753
2,7.0,18.7,32.128,272.1951219512195
3,8.0,18.7,32.128,311.06707317073176
3,8.0,18.7,32.128,281.7073170731707
4,7.0,18.7,31.154,285.36585365853654
4,8.0,18.7,30.667,338.5060975609756
5,8.0,18.7,31.641,293.8719512195122
5,12.1,19.3,32.615,334.4817073170732
6,28.3,20.1,32.128,334.2987804878049
6,24.6,20.5,33.102,317.4695121951219
7,25.7,21.1,32.615,307.95731707317077
7,24.7,21.3,33.102,331.2804878048781
8,25.0,22.2,31.641,336.5853658536586
8,25.0,22.2,33.102,357.7134146341464
9,25.0,22.2,33.102,307.2256097560976
9,30.5,21.1,31.641,338.6890243902439
10,18.1,21.3,32.128,340.8841463414634
10,24.6,21.3,33.102,346.4634146341463
11,19.9,21.2,32.128,357.6219512195122
11,8.5,21.2,31.641,282.7134146341463
12,19.9,21.2,31.641,331.3719512195122
12,33.0,23.3,32.128,344.8170731707317
13,25.0,23.4,32.615,314.2682926829268
13,25.0,24.8,32.615,313.2621951219512
14,25.0,25.6,33.102,334.7560975609756
14,24.6,26.4,33.102,358.17073170731703
15,25.4,26.4,33.589,343.2621951219512
15,25.1,26.4,33.102,325.5182926829268
16,25.0,27.0,32.128,328.719512195122
16,25.0,27.9,33.102,326.70731707317077
17,25.0,28.3,33.102,346.4634146341463
17,25.0,28.3,31.641,362.1951219512195
18,25.2,28.3,33.102,337.9573170731707
18,24.6,28.3,33.102,332.4695121951219
19,25.0,28.3,32.128,311.6158536585366
19,25.0,25.6,33.102,323.0487804878049
20,25.0,23.4,33.589,338.3231707317073
20,35.8,24.5,34.076,342.6219512195122
21,12.0,21.7,33.102,333.9329268292683
21,9.5,21.5,32.615,327.9878048780488
22,9.5,21.5,32.615,336.76829268292687
22,31.5,22.7,32.128,337.8658536585366
23,25.0,22.7,33.589,355.3353658536586
23,25.4,23.5,33.102,310.3353658536586
24,25.0,24.6,32.615,312.7134146341463
24,25.0,24.8,32.615,332.1036585365853
25,25.0,24.8,34.076,356.7073170731707
25,25.0,25.6,33.102,347.8353658536585
26,24.6,26.5,32.615,327.6219512195122
26,25.4,26.5,33.102,313.5365853658537
27,24.6,26.5,32.615,304.2073170731707
27,25.5,26.5,33.589,328.4451219512195
28,25.0,24.2,33.102,332.5609756097561
28,27.4,22.7,33.102,349.7560975609756
29,28.5,21.8,33.589,328.5365853658537
29,10.5,21.6,33.102,269.45121951219517
30,25.6,21.6,33.589,316.0060975609756
30,26.1,21.4,34.076,325.1524390243902
31,22.5,21.5,32.615,339.8780487804878
31,25.0,21.5,33.102,351.2195121951219
32,25.4,22.0,33.589,340.7012195121951
32,25.0,22.3,33.102,314.17682926829264
33,24.6,22.9,33.589,312.0731707317073
33,25.0,23.1,33.102,326.7987804878049
34,25.0,23.1,34.076,340.8841463414634
34,25.0,23.1,33.589,321.67682926829264
35,25.9,20.5,33.102,342.3475609756098
35,12.1,20.3,33.589,345.0914634146341
36,9.5,20.3,32.615,305.8536585365854
36,12.9,20.1,32.615,273.3841463414634
37,19.0,20.1,31.641,305.2134146341464
37,16.6,20.0,32.615,276.4024390243903
38,23.5,20.0,33.102,312.3475609756097
38,19.8,19.8,32.128,337.13414634146346
39,22.0,19.8,34.076,332.7439024390244
39,25.4,19.7,32.615,366.4939024390244
40,12.4,19.7,31.641,321.85975609756093
40,8.0,19.7,33.102,263.0487804878049
41,9.0,19.7,32.128,261.9512195121951
41,8.5,19.6,32.615,313.9024390243902
42,8.5,19.6,33.102,263.7804878048781
42,9.0,19.5,32.128,267.0731707317073
43,9.0,19.5,32.615,318.0182926829268
43,8.0,19.5,32.128,290.48780487804873
44,9.0,19.5,31.154,285.8231707317073
44,10.0,19.4,32.615,361.6463414634146
45,8.0,19.4,32.128,321.85975609756093
45,8.5,19.4,31.154,299.4512195121951
46,9.0,19.4,32.615,298.1707317073171
46,9.0,19.3,33.102,344.5426829268293
47,9.5,19.3,30.18,260.2134146341463
47,10.0,19.3,32.128,271.1890243902439
48,11.5,19.2,32.615,270.0
48,10.6,19.2,32.128,289.5731707317073
49,10.6,19.2,31.641,268.719512195122
49,11.1,19.2,31.641,316.4634146341463
50,10.1,19.2,32.128,263.7804878048781
50,8.5,19.2,32.615,335.7621951219512
51,8.0,19.1,31.641,290.48780487804873
