Tiempo,CPU,RAM,Temp,Corriente (mA)
0,14.5,21.9,34.076,292.8658536585366
0,20.6,21.7,34.563,299.9085365853659
1,19.6,21.5,35.05,322.5914634146341
1,18.0,21.3,32.615,353.780487804878
2,14.0,21.3,33.102,321.67682926829264
2,15.3,21.2,33.589,299.1768292682927
3,13.6,21.2,33.102,308.9634146341463
3,13.1,21.0,32.615,266.98170731707313
4,13.6,21.0,32.615,336.0365853658537
4,14.0,20.9,33.102,289.8475609756098
5,15.8,20.9,32.615,271.4634146341464
5,15.6,21.2,32.615,276.76829268292687
6,28.1,21.5,34.076,315.8231707317073
6,24.6,22.5,33.102,331.5548780487805
7,25.4,23.1,34.076,344.0853658536585
7,25.0,23.3,33.589,367.5
8,24.5,24.2,33.102,343.9939024390244
8,25.0,24.2,33.589,333.75
9,25.0,24.2,34.076,308.0487804878049
9,25.4,28.9,34.076,348.0182926829268
10,25.0,32.5,32.615,321.3109756097561
10,25.0,34.7,34.076,320.5792682926829
11,25.4,38.8,33.589,319.6646341463414
11,25.5,40.6,34.563,330.9146341463415
12,24.6,42.3,34.076,348.3841463414634
12,25.4,37.8,33.589,344.8170731707317
13,25.0,31.7,35.05,333.4756097560976
13,25.0,30.2,34.076,331.1890243902439
14,26.1,22.6,35.05,337.5914634146341
14,25.1,22.6,35.05,262.5
15,25.0,22.6,34.563,311.3414634146341
15,25.4,25.9,34.563,323.140243902439
16,26.1,22.6,34.563,342.8963414634146
16,15.4,22.6,34.076,287.6524390243903
17,19.0,22.6,33.589,344.4512195121951
17,33.2,24.0,34.076,312.8963414634146
18,25.9,24.0,33.102,332.7439024390244
18,25.5,25.2,34.076,336.0365853658537
19,25.5,26.1,35.05,343.2621951219512
19,24.6,26.7,35.05,333.2012195121951
20,25.4,27.1,34.563,332.6524390243902
20,25.0,27.1,34.563,307.3170731707317
21,25.0,27.3,35.05,313.0792682926829
21,25.0,28.4,33.102,318.5670731707317
22,25.4,29.0,34.563,325.609756097561
22,25.0,29.0,34.563,340.0609756097561
23,25.0,29.0,34.563,337.3170731707317
23,25.0,29.0,34.563,355.3353658536586
24,25.1,29.0,33.589,350.2134146341464
24,24.6,26.2,34.563,303.109756097561
25,25.4,26.2,33.589,313.9024390243902
25,25.0,35.5,34.563,311.9817073170732
26,24.6,45.3,35.05,325.7012195121951
26,25.7,43.4,34.076,328.8109756097561
27,24.6,45.1,33.589,322.5
27,25.0,47.0,34.076,328.0792682926829
28,25.4,51.6,34.563,336.4024390243903
28,25.0,54.4,35.05,319.11585365853654
29,25.4,59.9,35.537,343.5365853658536
29,25.1,64.3,35.05,335.2134146341463
30,25.7,63.5,33.589,347.0121951219512
30,24.6,63.5,35.05,331.9207317073171
31,25.0,64.4,34.076,321.7682926829268
31,26.9,67.6,34.563,314.4512195121951
32,27.9,70.7,34.076,363.4756097560975
32,25.4,48.0,34.076,329.26829268292687
33,25.5,40.8,34.076,312.7134146341463
33,24.6,41.4,34.563,324.8780487804878
34,25.7,41.0,35.05,316.92073170731703
34,25.1,41.9,34.076,378.5670731707317
35,32.2,24.5,33.589,353.5060975609756
35,25.1,22.4,34.076,380.3963414634146
36,14.6,21.8,34.076,319.390243902439
36,15.4,21.8,33.102,331.0975609756098
37,21.5,21.7,33.589,295.8841463414634
37,32.3,23.4,34.563,322.9573170731707
38,25.0,24.0,35.537,318.2926829268293
38,25.0,24.8,34.076,317.8353658536585
39,25.4,25.4,34.563,330.5487804878049
39,25.1,25.4,34.076,331.3719512195122
40,25.0,25.8,34.563,342.1646341463415
40,25.0,26.6,33.589,338.0487804878049
41,25.4,26.8,34.563,314.8170731707317
41,25.0,26.8,34.076,326.3414634146342
42,25.0,26.8,35.05,333.6585365853659
42,25.4,26.8,35.537,345.18292682926824
43,25.0,24.5,35.05,350.2134146341464
43,25.4,32.2,34.563,346.6463414634146
44,25.0,36.8,35.05,318.3841463414634
44,25.4,40.9,34.076,338.140243902439
45,25.0,42.6,34.563,344.9085365853659
45,25.4,46.9,34.076,363.75
46,25.0,51.1,34.563,338.5975609756098
46,24.6,54.8,33.102,361.4634146341463
47,25.5,55.5,33.589,349.390243902439
47,25.0,55.9,33.102,335.6707317073171
48,25.0,57.7,33.589,363.6585365853658
48,25.0,61.0,33.102,328.719512195122
49,25.0,40.6,34.076,330.3658536585366
49,25.0,39.6,34.563,364.6646341463415
50,24.7,38.7,35.05,323.3231707317073
50,25.0,38.5,34.563,330.5487804878049
51,34.2,24.0,35.537,349.390243902439
51,19.0,21.8,33.589,318.2926829268293
52,21.1,21.6,33.102,314.6341463414634
52,24.6,21.6,34.563,337.9573170731707
53,25.1,23.5,34.563,349.7560975609756
53,25.0,26.6,33.102,328.9024390243903
54,24.0,21.7,34.563,346.1890243902439
54,27.5,21.7,35.05,340.609756097561
55,24.6,22.1,34.563,333.8414634146342
55,25.0,22.5,33.102,308.8719512195122
56,24.6,22.9,35.05,310.609756097561
56,25.4,23.3,35.05,343.9024390243902
57,25.0,23.4,35.537,333.0182926829268
57,25.0,23.4,34.563,330.8231707317073
58,25.0,28.5,35.05,357.7134146341464
58,25.0,31.3,33.589,335.5792682926829
59,25.5,34.2,33.589,316.3719512195122
59,25.0,38.9,34.563,314.35975609756093
60,25.0,41.4,34.563,328.9939024390244
60,25.4,41.4,35.05,322.8658536585366
61,25.4,44.5,33.589,327.4390243902439
61,24.6,31.6,35.05,332.5609756097561
62,25.4,31.6,34.076,330.4573170731707
62,26.5,22.4,33.589,340.609756097561
63,26.5,21.2,35.05,316.0060975609756
63,18.0,21.2,34.563,335.2134146341463
64,14.1,21.2,34.076,341.1585365853659
64,19.9,21.2,34.563,326.3414634146342
65,25.5,22.0,33.589,319.0243902439024
65,17.5,21.6,33.589,343.3536585365854
66,24.5,21.4,33.589,271.0060975609756
66,24.5,21.4,34.563,329.54268292682923
67,24.7,21.3,35.537,309.6951219512195
67,23.2,21.3,33.102,350.48780487804873
68,24.9,21.3,33.589,318.5670731707317
68,24.5,21.3,33.589,320.7621951219512
69,25.1,22.7,34.076,356.9817073170732
69,22.6,21.4,34.563,351.2195121951219
70,15.0,21.2,33.102,281.0670731707317
70,15.0,21.2,33.102,348.75
71,16.0,21.0,34.076,283.9939024390244
71,15.0,21.0,33.589,260.4878048780488
72,15.0,20.9,33.589,310.0609756097561
72,16.0,20.7,33.102,265.9756097560976
73,11.9,20.7,33.589,325.7012195121951
73,15.5,20.6,34.076,330.3658536585366
74,15.0,20.4,33.589,281.25
74,14.1,20.4,33.102,324.5121951219512
75,16.3,20.2,33.102,313.5365853658537
75,14.6,20.2,33.102,268.6280487804878
76,14.5,20.1,32.615,337.7743902439024
76,15.6,20.0,33.589,326.25
77,14.2,19.9,33.589,289.6646341463415
77,14.5,19.9,32.615,339.6036585365854
78,15.5,19.8,33.589,344.9085365853659
78,14.9,19.8,33.589,272.2865853658536
79,14.1,19.7,33.102,326.1585365853659
79,15.8,19.7,34.076,343.5365853658536
80,15.6,19.6,33.589,284.9085365853659
80,24.0,19.8,33.589,350.30487804878044
81,25.0,22.2,33.589,319.390243902439
81,24.9,21.3,33.589,338.140243902439
82,23.8,21.3,35.05,316.92073170731703
82,26.0,21.3,34.563,332.1036585365853
83,24.7,21.3,34.563,329.6341463414634
83,25.0,21.7,34.076,308.5975609756098
84,25.0,22.3,34.563,344.2682926829268
84,25.0,22.3,34.563,317.5609756097561
85,25.0,22.3,35.05,311.3414634146341
85,25.0,27.9,34.563,330.5487804878049
86,25.9,30.4,34.076,324.5121951219512
86,24.6,35.8,35.05,329.1768292682927
87,25.0,36.9,34.563,326.6158536585366
88,24.9,41.8,34.076,326.70731707317077
88,25.4,36.2,34.563,332.7439024390244
89,28.5,21.9,33.102,327.7134146341463
89,25.1,21.9,35.537,306.4939024390244
90,34.0,25.1,34.076,326.890243902439
90,25.0,24.5,34.076,340.9756097560976
91,25.4,25.3,34.563,347.74390243902434
91,25.0,26.2,34.563,310.2439024390244
92,25.4,27.0,34.563,319.7560975609756
92,25.0,27.4,35.537,327.1646341463414
93,25.0,27.4,34.563,326.890243902439
93,25.0,27.6,33.589,326.98170731707313
94,25.0,28.7,34.076,321.0365853658537
94,25.0,29.3,33.589,329.359756097561
95,25.0,29.3,33.102,339.4207317073171
95,25.1,29.3,33.589,343.3536585365854
96,25.0,29.3,33.589,343.9939024390244
96,25.0,29.3,33.589,335.2134146341463
97,25.0,29.1,34.563,325.5182926829268
97,25.0,28.3,34.076,330.0
98,25.0,35.9,34.076,333.0182926829268
98,25.0,45.5,35.05,318.0182926829268
99,24.6,43.7,34.563,308.6890243902439
99,25.4,46.0,35.05,327.7134146341463
100,25.0,47.9,34.563,317.3780487804878
100,25.0,53.0,34.076,315.1829268292683
101,25.0,56.0,34.563,322.6829268292683
101,25.1,59.4,34.563,315.2743902439024
102,25.4,62.6,34.076,330.640243902439
102,25.5,64.1,34.563,335.5792682926829
103,25.0,63.7,34.076,341.89024390243907
103,25.4,65.6,34.076,351.5853658536585
104,25.0,69.5,34.563,334.4817073170732
104,25.1,71.0,34.563,330.9146341463415
105,25.4,41.0,35.05,320.8536585365854
105,25.1,43.3,34.563,351.2195121951219
106,25.5,44.5,35.05,305.94512195121956
106,25.0,42.6,34.563,330.640243902439
107,25.1,35.8,34.076,361.280487804878
107,25.8,25.1,34.563,360.9146341463414
108,24.9,23.8,35.05,362.1951219512195
108,25.1,23.8,35.05,324.7865853658536
109,25.0,24.2,33.589,343.4451219512195
109,25.0,27.5,34.076,334.6646341463414
110,26.0,21.6,34.563,339.8780487804878
110,25.0,21.6,33.589,346.1890243902439
111,25.0,22.8,33.589,345.0914634146341
111,25.4,26.8,34.076,307.95731707317077
112,25.5,21.6,35.05,348.5670731707317
112,25.0,21.6,34.563,330.0
113,25.5,21.1,35.05,349.5731707317073
113,24.0,21.1,34.563,349.6646341463415
114,15.9,21.5,33.102,326.1585365853659
