Tiempo,CPU,RAM,Temp,Corriente (mA)
0,26.1,21.7,33.589,321.9512195121951
0,28.0,22.1,33.102,335.1219512195122
1,26.0,20.1,32.615,320.7621951219512
1,27.6,20.3,33.102,341.7987804878049
2,57.3,23.0,34.076,328.9939024390244
2,31.7,24.7,33.102,349.7560975609756
3,24.7,24.7,33.589,325.7926829268293
3,25.1,24.7,33.102,324.42073170731703
4,25.5,24.6,33.589,333.109756097561
4,27.6,25.1,33.102,309.0548780487805
5,31.2,24.5,33.589,319.8475609756097
5,25.4,20.8,34.076,336.76829268292687
6,32.7,21.7,34.563,341.70731707317077
6,25.1,23.0,32.615,350.1219512195122
7,25.9,23.4,33.102,328.5365853658537
7,25.1,23.8,34.076,334.20731707317077
8,34.7,23.7,34.076,300.0914634146342
8,27.2,20.6,34.076,330.0
9,26.5,20.6,35.05,361.280487804878
9,28.4,21.8,33.589,350.1219512195122
10,25.1,22.4,33.589,316.4634146341463
10,29.0,22.5,33.589,357.0731707317073
11,25.8,20.2,33.589,312.2560975609756
11,29.0,20.2,34.076,314.4512195121951
12,28.7,20.2,34.563,330.8231707317073
12,25.0,20.1,35.05,321.4939024390244
13,25.0,20.1,34.563,333.6585365853659
13,26.6,20.0,34.076,316.4634146341463
14,28.6,20.6,33.589,327.9878048780488
14,25.0,21.4,33.102,345.640243902439
15,28.6,21.8,34.076,315.0914634146341
15,25.0,22.6,34.563,311.3414634146341
16,31.3,23.2,34.563,331.0060975609756
16,25.4,24.1,34.563,348.0182926829268
17,25.0,24.3,33.102,314.0853658536585
17,25.0,24.9,33.102,325.5182926829268
18,25.4,25.3,33.589,329.8170731707317
18,25.0,25.6,33.102,315.0914634146341
19,37.3,25.9,33.589,319.0243902439024
19,27.4,21.4,34.076,325.9756097560976
20,30.3,21.3,35.05,331.2804878048781
20,16.8,21.3,33.102,336.0365853658537
