Tiempo,CPU,RAM,Temp,Corriente (mA)
0,28.0,32.0,32.615,340.5182926829268
0,27.3,32.0,32.615,341.0670731707317
1,27.0,32.0,32.128,351.9512195121951
1,27.9,32.0,32.128,334.2987804878049
2,26.6,32.0,31.641,315.0
2,27.9,32.0,33.102,325.9756097560976
3,28.1,32.0,32.615,318.2012195121951
3,28.0,32.0,32.615,329.4512195121951
4,28.9,32.0,32.615,325.3353658536585
4,28.0,32.0,32.615,326.4329268292683
5,28.2,32.0,31.641,338.8719512195122
5,28.1,32.0,32.615,329.1768292682927
6,26.8,32.0,32.128,338.140243902439
6,27.5,32.0,33.102,324.42073170731703
7,28.6,33.0,32.615,342.25609756097566
7,39.1,32.4,33.589,348.9329268292683
8,36.3,32.4,32.128,332.3780487804878
8,27.1,32.3,33.102,329.359756097561
9,27.5,32.3,32.615,314.6341463414634
9,28.2,32.2,32.128,322.9573170731707
10,29.1,31.5,33.102,325.5182926829268
10,29.0,31.5,32.615,334.57317073170736
11,28.6,31.5,32.128,335.2134146341463
11,29.2,31.5,32.615,339.4207317073171
12,28.5,32.4,33.589,342.3475609756098
12,32.3,33.0,32.615,316.2804878048781
13,29.4,33.0,33.102,335.9451219512195
13,27.0,32.8,33.102,355.60975609756093
14,28.9,32.8,33.589,357.7134146341464
14,27.5,32.6,32.615,339.7865853658537
15,29.0,33.0,32.615,339.2378048780488
15,29.6,33.4,33.589,316.4634146341463
16,32.8,33.4,32.615,334.4817073170732
16,37.5,32.0,33.589,317.5609756097561
17,38.8,32.0,33.589,415.8841463414634
17,34.7,32.0,34.563,373.1707317073171
18,32.5,32.0,33.589,326.1585365853659
18,30.5,32.1,33.102,332.3780487804878
19,28.9,32.1,34.076,330.0
19,27.3,32.1,32.615,346.0060975609756
20,28.1,32.1,34.076,339.51219512195127
20,28.4,31.4,33.589,329.8170731707317
21,28.1,31.4,33.589,337.5914634146341
21,26.9,31.4,32.615,320.2134146341463
22,28.0,31.4,33.102,316.4634146341463
22,27.9,31.4,33.102,337.7743902439024
23,28.1,31.4,33.589,323.8719512195122
23,26.5,31.4,33.102,331.5548780487805
24,29.3,31.4,33.102,339.8780487804878
24,27.1,31.4,33.589,339.4207317073171
25,28.5,31.4,33.589,324.5121951219512
25,27.9,31.4,33.589,351.4024390243902
26,28.4,31.4,34.076,336.76829268292687
26,27.5,31.3,33.102,330.3658536585366
27,28.4,31.3,32.615,340.8841463414634
27,26.6,31.4,33.589,332.2865853658536
28,29.6,31.4,33.589,337.6829268292683
28,23.2,32.1,33.102,335.6707317073171
