Tiempo,CPU,RAM,Temp,Corriente (mA)
0,11.6,20.3,31.641,332.2865853658536
0,18.5,20.3,31.154,287.2865853658537
1,19.6,20.3,32.615,298.7195121951219
1,10.4,19.8,31.641,319.7560975609756
2,10.0,19.8,32.128,341.7987804878049
2,10.6,19.8,32.128,325.8841463414634
3,10.6,19.7,31.641,295.0609756097561
3,10.0,19.7,31.641,301.3719512195122
4,9.5,19.5,31.641,297.6219512195122
4,9.5,19.5,31.641,289.0243902439024
5,11.0,19.4,31.154,283.8109756097561
5,10.6,19.4,32.615,298.5365853658536
6,12.4,19.3,32.128,302.5609756097561
6,17.0,19.3,30.667,305.4878048780488
7,28.3,25.0,31.641,335.8536585365854
7,25.0,27.4,32.128,321.67682926829264
8,25.0,32.0,31.641,317.0121951219512
8,25.0,35.9,32.615,335.6707317073171
9,25.4,35.7,32.128,336.4024390243903
9,25.0,37.6,32.615,311.3414634146341
10,25.0,26.9,31.641,319.9390243902439
10,25.0,28.2,33.102,343.9024390243902
11,25.5,31.5,31.641,307.5
11,25.0,33.8,32.615,330.0
12,25.4,34.1,33.102,320.2134146341463
12,25.0,33.9,32.615,343.1707317073171
13,25.0,33.9,32.615,331.7378048780488
13,24.6,30.0,32.615,322.4085365853658
14,25.0,31.2,33.102,338.0487804878049
14,29.4,30.1,32.128,349.8475609756098
15,18.5,20.6,32.128,310.1524390243903
15,25.0,24.1,31.641,320.3048780487805
16,25.0,24.8,32.615,314.6341463414634
16,25.9,24.8,33.589,347.469512195122
17,13.9,20.6,32.128,324.9695121951219
17,12.4,20.6,31.641,318.2926829268293
18,23.0,21.6,33.102,298.3536585365853
18,31.3,28.2,33.102,306.6768292682927
19,25.4,38.5,32.128,321.4939024390244
19,25.0,37.6,32.615,332.6524390243902
20,25.0,40.4,33.102,336.5853658536586
20,25.0,43.4,32.615,326.98170731707313
21,24.6,49.6,33.102,328.2621951219512
21,25.0,53.8,33.102,329.0853658536586
22,26.9,56.3,33.102,327.9878048780488
22,27.6,54.4,33.102,368.8719512195122
23,25.1,55.6,32.615,309.2378048780488
23,25.0,57.2,33.589,329.6341463414634
24,27.3,60.0,33.102,352.5914634146342
