Tiempo,CPU,RAM,Temp,Corriente (mA)
0,12.1,20.0,33.102,318.4756097560976
0,18.2,19.9,33.589,328.5365853658537
1,11.5,20.0,33.589,332.6524390243902
1,8.5,19.9,33.102,278.4146341463415
2,10.1,19.9,33.102,268.1707317073171
2,14.7,19.9,33.589,268.2621951219512
3,13.6,20.0,32.615,359.2682926829268
3,9.5,19.8,33.102,313.5365853658537
4,10.5,19.8,32.615,287.3780487804878
4,8.5,19.7,33.102,271.2804878048781
5,11.1,19.7,32.128,324.2378048780488
5,14.5,19.5,32.615,279.9695121951219
6,17.6,19.5,33.102,273.0182926829268
6,29.6,23.6,32.615,327.2560975609756
7,25.8,24.1,32.615,312.6219512195122
7,25.4,26.3,33.102,323.3231707317073
8,28.0,24.9,33.589,350.5792682926829
8,25.5,26.1,33.102,316.55487804878044
9,24.6,26.1,33.102,321.7682926829268
9,25.1,27.8,32.615,326.70731707317077
10,29.4,27.0,33.589,332.7439024390244
10,4.0,21.5,33.589,316.1890243902439
11,26.5,21.5,34.563,289.2987804878049
11,22.5,21.5,33.589,352.5914634146342
12,8.5,21.1,33.102,297.2560975609756
12,11.6,21.0,33.102,292.4085365853659
13,33.7,23.5,33.589,339.2378048780488
13,25.5,28.5,33.102,327.2560975609756
14,25.0,31.8,33.102,329.4512195121951
14,25.0,31.8,33.102,325.1524390243902
15,25.4,28.2,32.615,321.7682926829268
15,25.0,33.2,34.076,336.5853658536586
16,25.0,35.5,32.615,357.9878048780488
16,25.0,35.5,32.615,318.3841463414634
17,25.0,35.5,34.076,335.3048780487805
17,38.6,28.4,34.076,335.9451219512195
18,25.9,34.0,35.537,327.9878048780488
18,25.1,35.5,34.563,324.2378048780488
19,25.0,35.5,35.05,354.2378048780488
19,25.0,31.8,34.076,336.4024390243903
20,24.6,38.4,35.05,319.8475609756097
20,25.5,38.8,34.563,317.4695121951219
21,25.0,38.8,34.076,329.359756097561
21,27.9,29.9,33.102,344.0853658536585
22,34.0,32.8,34.076,340.5182926829268
22,10.1,24.1,33.589,314.17682926829264
23,9.0,23.9,33.589,281.0670731707317
23,8.0,23.9,33.589,296.1585365853658
24,15.9,23.9,33.589,275.6707317073171
24,32.8,27.0,33.589,337.6829268292683
25,25.4,29.5,34.076,323.0487804878049
25,25.0,27.7,34.076,346.0060975609756
26,25.4,31.0,33.102,311.7987804878049
26,25.5,33.5,33.589,332.2865853658536
27,25.0,33.5,34.076,318.3841463414634
27,33.2,27.8,33.589,331.5548780487805
28,25.0,32.3,33.589,336.5853658536586
28,25.0,33.0,33.589,321.9512195121951
29,25.0,30.7,34.076,329.9085365853658
29,24.6,35.1,33.102,320.7621951219512
30,25.0,35.5,33.589,320.5792682926829
30,25.0,29.0,34.076,342.8048780487805
31,35.1,30.5,35.05,312.3475609756097
31,5.5,23.1,34.076,304.2073170731707
32,13.6,22.9,33.102,284.8170731707317
32,27.1,22.9,33.102,352.8658536585366
33,19.5,22.9,32.615,320.6707317073171
33,28.6,24.9,33.589,346.280487804878
34,25.0,25.9,34.076,352.3170731707317
34,25.4,27.8,33.102,319.5731707317073
35,31.8,25.5,33.589,364.390243902439
35,25.0,28.0,32.128,330.1829268292683
36,25.1,26.9,34.563,317.6524390243902
36,25.1,29.2,32.615,350.3963414634146
37,25.4,29.0,35.05,346.5548780487805
37,22.5,27.9,34.076,332.8353658536585
38,13.4,22.5,33.589,294.2378048780488
38,9.5,22.5,32.615,269.8170731707317
39,8.0,22.5,33.589,280.1524390243902
39,16.5,22.3,33.102,272.6524390243902
40,15.4,22.2,33.589,340.5182926829268
40,21.0,22.2,33.102,307.5
41,22.5,22.0,34.076,340.7926829268293
41,21.9,22.0,33.102,345.640243902439
42,23.0,21.8,34.076,305.1219512195122
42,24.9,21.8,34.076,345.54878048780483
43,8.0,21.8,33.102,343.5365853658536
43,8.0,21.8,33.589,340.2439024390244
44,8.5,21.8,33.102,334.6646341463414
44,9.5,21.8,32.615,263.0487804878049
45,9.5,21.7,33.589,270.640243902439
45,9.0,21.6,31.641,289.6646341463415
46,11.0,21.5,32.128,257.9268292682927
46,11.1,21.4,32.615,306.3109756097561
47,10.6,21.4,33.102,304.390243902439
47,11.0,21.4,32.615,312.1646341463415
48,11.5,21.3,32.128,258.109756097561
48,10.1,21.3,31.641,274.6646341463415
49,10.5,21.2,31.641,271.0975609756098
49,11.4,21.1,32.128,336.859756097561
50,11.0,21.1,32.128,319.8475609756097
50,11.5,21.1,32.615,303.2926829268293
51,10.9,21.0,32.128,306.859756097561
51,10.0,21.0,32.128,322.5
52,11.5,20.8,31.154,308.14024390243907
52,8.5,20.8,31.154,293.140243902439
53,11.1,20.8,32.128,281.25
53,11.1,20.8,32.128,305.6707317073171
54,11.5,20.8,31.641,339.51219512195127
54,11.1,20.8,31.641,295.3353658536586
55,11.0,20.7,32.128,303.3841463414634
55,10.6,20.7,32.128,286.7378048780488
56,16.1,20.7,33.589,265.2439024390244
56,27.4,20.7,32.128,332.1036585365853
57,19.6,20.6,32.128,319.9390243902439
57,25.2,22.6,33.102,331.0060975609756
58,25.4,25.3,32.128,313.3536585365854
58,25.4,23.9,33.589,355.1524390243903
59,25.0,25.8,33.102,327.7134146341463
59,30.0,24.5,32.615,371.06707317073176
60,24.6,25.9,33.589,326.3414634146342
60,25.0,27.2,33.102,374.9085365853658
61,26.5,26.2,32.615,339.6036585365854
61,22.2,26.8,33.102,343.0792682926829
62,25.1,26.8,32.615,320.7621951219512
62,34.8,29.5,33.589,358.17073170731703
63,25.0,34.8,31.641,325.9756097560976
63,25.0,34.8,32.615,362.8353658536586
64,24.6,32.6,33.102,336.859756097561
64,25.4,38.8,34.076,340.7012195121951
65,24.6,40.0,32.128,317.7439024390244
65,25.0,40.0,32.615,326.25
66,31.8,31.0,34.076,334.2987804878049
66,27.0,34.5,33.102,416.7987804878049
67,25.1,39.1,33.589,327.9878048780488
67,25.4,39.1,34.076,341.3414634146342
68,25.4,33.4,33.102,317.1951219512195
68,24.6,38.0,33.589,330.9146341463415
69,25.4,42.3,33.102,321.9512195121951
69,25.0,42.3,34.076,339.51219512195127
70,25.0,42.3,33.102,364.4817073170732
70,34.5,35.0,34.563,372.2560975609756
71,12.1,34.8,33.102,342.9878048780488
71,0.5,34.8,33.102,308.14024390243907
72,19.1,31.6,33.589,268.9024390243903
72,26.5,27.7,33.589,337.13414634146346
73,23.7,24.0,33.102,353.23170731707313
73,26.7,22.4,34.076,333.2012195121951
74,21.6,22.5,33.102,343.1707317073171
74,24.3,22.5,33.589,305.2134146341464
75,22.5,22.4,33.102,342.9878048780488
75,9.0,22.4,33.102,387.0731707317073
