Tiempo,CPU,RAM,Temp,Corriente (mA)
0,31.8,37.6,32.615,326.25
0,36.9,36.8,34.076,322.9573170731707
1,37.2,37.0,34.076,326.98170731707313
1,34.5,37.1,32.615,489.0548780487805
2,38.7,37.3,33.589,311.3414634146341
2,40.3,37.6,35.537,303.4756097560975
3,39.2,37.7,34.076,333.6585365853659
3,39.2,37.7,33.589,292.8658536585366
4,38.6,37.7,34.076,332.8353658536585
4,39.0,37.7,34.563,354.1463414634146
5,33.7,37.7,33.589,333.109756097561
5,40.1,37.7,34.076,304.2073170731707
6,38.5,37.7,33.102,336.5853658536586
6,39.7,36.0,33.589,319.5731707317073
7,38.3,36.4,34.563,300.0
7,39.2,36.6,35.05,329.26829268292687
8,36.5,36.7,35.05,312.9878048780488
8,36.8,36.9,32.128,494.1768292682927
9,39.3,36.9,34.563,300.1829268292683
9,38.9,36.9,33.589,335.8536585365854
10,37.4,36.9,34.563,320.8536585365854
10,37.9,36.9,35.05,295.7012195121951
11,31.8,37.5,34.076,358.9939024390244
11,31.8,38.5,33.589,318.2012195121951
12,38.9,38.5,33.589,306.859756097561
12,38.6,38.5,33.589,330.8231707317073
13,37.4,38.5,34.076,307.0426829268293
13,38.5,38.5,34.076,326.0670731707317
14,33.5,38.6,34.076,359.5426829268293
14,35.4,38.6,34.076,499.2073170731707
15,38.1,36.4,33.589,285.8231707317073
15,40.9,36.6,34.076,315.0914634146341
16,34.8,37.2,34.563,299.9085365853659
16,36.4,37.5,34.563,491.0670731707317
17,38.2,37.5,35.05,331.0975609756098
17,38.4,37.5,34.076,324.6951219512195
18,36.7,37.7,34.563,327.9878048780488
18,35.0,37.7,34.076,316.92073170731703
19,37.6,37.7,34.563,353.140243902439
19,39.7,37.7,34.076,337.8658536585366
20,38.8,37.7,34.563,305.3963414634147
20,39.8,37.7,35.05,321.4939024390244
21,38.6,37.7,34.563,333.5670731707317
21,39.0,37.7,35.05,309.7865853658537
22,33.8,37.7,34.563,294.7865853658537
22,37.2,38.1,35.05,382.5
23,30.7,38.0,34.563,360.64024390243907
23,37.9,37.0,34.076,325.5182926829268
24,34.3,37.0,34.563,466.1890243902439
24,39.2,37.1,34.563,344.5426829268293
25,38.1,37.2,34.076,315.4573170731707
25,39.6,37.2,34.563,361.5548780487805
26,37.7,37.2,35.05,319.2073170731707
26,38.5,37.2,34.563,387.3475609756097
27,33.0,37.2,34.563,449.2682926829268
27,37.7,37.2,34.076,420.45731707317077
28,37.4,37.2,34.563,337.5914634146341
28,39.0,37.2,34.076,302.1951219512195
