Tiempo,CPU,RAM,Temp,Corriente (mA)
0,16.0,21.0,32.615,335.1219512195122
0,15.5,21.0,33.102,319.0243902439024
1,21.1,21.0,32.615,307.0426829268293
1,23.0,20.8,33.102,262.6829268292683
2,16.4,20.8,33.102,263.8719512195122
2,15.4,20.8,33.102,271.5548780487805
3,12.5,20.8,31.641,289.5731707317073
3,15.5,20.6,33.102,333.9329268292683
4,15.4,20.6,32.615,323.5975609756098
4,14.9,20.5,32.615,340.609756097561
5,14.1,20.5,32.128,286.280487804878
5,16.0,20.4,32.615,292.7743902439025
6,16.5,21.0,33.102,322.4085365853658
6,27.1,21.2,33.102,343.7195121951219
7,25.0,22.3,32.615,337.8658536585366
7,24.6,22.9,32.615,318.109756097561
8,25.4,23.1,33.102,316.0060975609756
8,25.0,23.7,32.128,332.5609756097561
9,25.1,23.7,33.589,352.6829268292683
9,25.0,23.7,33.102,347.74390243902434
10,25.0,27.3,32.615,355.3353658536586
10,25.0,27.9,33.589,325.9756097560976
11,25.0,30.2,32.615,359.2682926829268
11,28.8,28.5,32.615,331.3719512195122
12,25.4,31.2,33.102,347.0121951219512
12,24.6,30.5,34.076,339.0548780487805
13,25.4,32.5,34.563,331.3719512195122
13,26.5,22.8,33.589,360.9146341463414
14,23.5,22.4,34.076,389.35975609756093
14,25.4,22.4,33.102,337.5914634146341
15,25.0,22.4,33.102,329.6341463414634
15,26.9,23.2,33.589,353.6890243902439
16,21.1,22.5,32.615,319.11585365853654
16,15.9,22.5,34.076,289.2073170731707
17,23.9,22.5,33.102,345.9146341463414
17,30.7,24.1,34.076,335.3963414634146
18,25.4,24.5,33.102,335.3048780487805
18,25.0,25.6,34.076,324.7865853658536
19,25.0,26.4,33.589,309.1463414634146
19,25.0,27.2,33.102,329.359756097561
20,25.0,27.2,32.615,340.1524390243902
20,25.0,27.2,32.128,344.4512195121951
21,25.0,28.0,34.076,344.5426829268293
21,25.0,28.9,33.102,302.8353658536586
22,25.0,29.3,33.589,319.48170731707313
22,25.0,29.3,33.102,319.390243902439
23,25.0,29.3,33.589,333.3841463414634
23,25.0,29.3,35.05,349.6646341463415
24,25.0,29.3,33.102,341.70731707317077
24,25.0,26.3,34.076,340.1524390243902
25,24.6,29.2,33.102,316.4634146341463
25,25.4,35.4,34.076,328.9024390243903
26,25.4,37.3,34.076,331.0060975609756
26,25.0,37.3,33.102,347.3780487804878
27,25.0,34.1,34.076,343.3536585365854
27,25.4,40.5,33.589,322.5
28,25.0,41.2,33.589,311.7073170731707
28,25.0,41.2,33.589,325.7012195121951
29,32.8,35.9,34.076,336.3109756097561
29,27.8,39.4,34.076,416.7073170731707
30,25.0,44.4,33.102,336.6768292682927
30,25.0,44.4,35.05,353.5060975609756
31,24.6,40.8,34.563,336.219512195122
31,25.0,43.7,32.615,343.8109756097561
32,25.4,47.3,35.05,310.1524390243903
32,25.1,47.3,33.102,337.8658536585366
33,25.4,42.3,34.076,348.5670731707317
33,35.8,25.3,34.076,324.1463414634147
34,22.0,22.9,34.563,344.0853658536585
34,17.3,22.7,33.589,348.9329268292683
35,15.5,22.7,34.076,347.3780487804878
35,22.0,22.5,34.563,299.8170731707317
36,31.8,24.0,34.563,321.3109756097561
36,25.0,24.5,34.076,342.3475609756098
